Word Length,Recursive Time (ns),Iterative Time (ns)
955,119735,2010
956,120850,2011
957,119287,2018
958,120124,2022
959,120364,2055
960,123417,2026
961,121706,2027
962,122328,2058
963,126655,2067
964,122704,2030
965,121273,2067
966,121772,2055
967,121332,2023
968,131839,2029
969,123350,2057
970,123285,2056
971,122098,2173
972,122473,2262
973,128656,2114
974,125995,2066
975,125199,2138
976,128345,2389
977,127461,2130
978,129565,2183
979,124249,2090
980,129009,2082
981,136305,2082
982,126706,2321
983,125763,2116
984,126422,2062
985,127229,2060
986,128918,2065
987,129738,2120
988,136324,2103
989,129030,2098
990,132120,2102
991,132388,2108
992,130226,2095
993,139287,2104
994,128741,2099
995,129656,2113
996,129460,2094
997,158367,2101
998,133355,2136
999,135325,2105
1000,132476,2112
